id,audio_filepath,duration,sample_rate,raw_transcript,cleaned_transcript,corrected_transcript,language,confidence,review_status,verified_by_human,split
ElevenLabs_2026-09-02T12_07_52_Nitin - Indian Accent with emotions_pvc_sp94_s77_sb75_se0_b_m2_16k_mono,E:\Diabetes\backend\datasets\processed_audio\ElevenLabs_2026-09-02T12_07_52_Nitin - Indian Accent with emotions_pvc_sp94_s77_sb75_se0_b_m2_16k_mono.wav,359.52,16000,Patient post-prandial blood sugar PPBS is 210 mg/dl. Increased Glimepiride to 2 mg and advised HbA1c test after 3 months.,Patient post-prandial blood sugar PPBS is 210 mg/dl. Increased Glimepiride to 2 mg and advised HbA1c test after 3 months.,Patient post-prandial blood sugar PPBS is 210 mg/dl. Increased Glimepiride to 2 mg and advised HbA1c test after 3 months.,en-IN,0.95,approved,True,train
ElevenLabs_2026-09-02T11_55_31_Prayan - Quirky Energetic Ad Creator_pvc_sp100_s50_sb75_f2-5_16k_mono,E:\Diabetes\backend\datasets\processed_audio\ElevenLabs_2026-09-02T11_55_31_Prayan - Quirky Energetic Ad Creator_pvc_sp100_s50_sb75_f2-5_16k_mono.wav,212.14,16000,सकाळी उठल्यावर मळमळ होते आणि ऍसिडिटीचा त्रास होतो. Pantoprazole 40 mg OD before breakfast prescribed.,सकाळी उठल्यावर मळमळ होते आणि ऍसिडिटीचा त्रास होतो. Pantoprazole 40 mg OD (Once Daily) before breakfast prescribed.,सकाळी उठल्यावर मळमळ होते आणि ऍसिडिटीचा त्रास होतो. Pantoprazole 40 mg OD (Once Daily) before breakfast prescribed.,en-IN,0.95,approved,True,train
ElevenLabs_04_16k_mono,E:\Diabetes\backend\datasets\processed_audio\ElevenLabs_04_16k_mono.wav,238.08,16000,माझ्या पायाला सूज आली आहे आणि शुगर लेव्हल वाढली आहे. Glimepiride 2 mg आणि Pan-D सकाळी रिकाम्या पोटी घ्या.,माझ्या पायाला सूज आली आहे आणि शुगर लेव्हल वाढली आहे. Glimepiride 2 mg आणि Pan-D सकाळी रिकाम्या पोटी घ्या.,माझ्या पायाला सूज आली आहे आणि शुगर लेव्हल वाढली आहे. Glimepiride 2 mg आणि Pan-D सकाळी रिकाम्या पोटी घ्या.,mr-IN,0.95,approved,True,train
MiniMax_11_16k_mono,E:\Diabetes\backend\datasets\processed_audio\MiniMax_11_16k_mono.wav,292.91,16000,Lipid profile test shows high cholesterol. Prescribed Atorvastatin 10 mg at bedtime and low sodium diet.,Lipid profile test shows high cholesterol. Prescribed Atorvastatin 10 mg at bedtime and low sodium diet.,Lipid profile test shows high cholesterol. Prescribed Atorvastatin 10 mg at bedtime and low sodium diet.,en-IN,0.95,approved,True,train
MiniMax_2026-09-02_17_19_23_Trustworthy_Advisor_16k_mono,E:\Diabetes\backend\datasets\processed_audio\MiniMax_2026-09-02_17_19_23_Trustworthy_Advisor_16k_mono.wav,239.6,16000,रक्तदाब सामान्य आहे 120/80 mmHg. सर्व जुनी औषधे जशीच्या तशी चालू ठेवा.,BP (रक्तदाब) सामान्य आहे 120/80 mmHg. सर्व जुनी औषध (Medicine)े जशीच्या तशी चालू ठेवा.,BP (रक्तदाब) सामान्य आहे 120/80 mmHg. सर्व जुनी औषध (Medicine)े जशीच्या तशी चालू ठेवा.,mr-IN,0.95,approved,True,train
ElevenLabs_2026-09-02T11_50_38_Niraj - Cinematic Horror Storyteller_pvc_sp100_s50_sb75_f2-5_16k_mono,E:\Diabetes\backend\datasets\processed_audio\ElevenLabs_2026-09-02T11_50_38_Niraj - Cinematic Horror Storyteller_pvc_sp100_s50_sb75_f2-5_16k_mono.wav,286.98,16000,Patient complains of breathlessness and high blood sugar. Prescribing Insulin 10 Units before dinner and Metformin 1000 mg.,Patient complains of breathlessness and high blood sugar. Prescribing Insulin 10 Units before dinner and Metformin 1000 mg.,Patient complains of breathlessness and high blood sugar. Prescribing Insulin 10 Units before dinner and Metformin 1000 mg.,en-IN,0.95,approved,True,train
MiniMax_2026-09-02_17_14_21_Trustworthy_Advisor_16k_mono,E:\Diabetes\backend\datasets\processed_audio\MiniMax_2026-09-02_17_14_21_Trustworthy_Advisor_16k_mono.wav,410.86,16000,Patient diagnosed with Type 2 Diabetes Mellitus. Starting Vildagliptin 50 mg BD with lifestyle modification.,Patient diagnosed with Type 2 Diabetes Mellitus. Starting Vildagliptin 50 mg BD (Twice Daily) with lifestyle modification.,Patient diagnosed with Type 2 Diabetes Mellitus. Starting Vildagliptin 50 mg BD (Twice Daily) with lifestyle modification.,en-IN,0.95,approved,True,train
MiniMax_05_16k_mono,E:\Diabetes\backend\datasets\processed_audio\MiniMax_05_16k_mono.wav,270.03,16000,डॉक्टर मला ताप आणि अंगदुखी आहे. Paracetamol 650 mg दिवसातून तीन वेळा TDS घ्या.,डॉक्टर मला ताप आणि अंगदुखी आहे. Paracetamol 650 mg दिवसातून तीन वेळा TDS (Thrice Daily) घ्या.,डॉक्टर मला ताप आणि अंगदुखी आहे. Paracetamol 650 mg दिवसातून तीन वेळा TDS (Thrice Daily) घ्या.,mr-IN,0.95,approved,True,train
ElevenLabs_16_16k_mono,E:\Diabetes\backend\datasets\processed_audio\ElevenLabs_16_16k_mono.wav,356.83,16000,"Blood pressure checkup: systolic 140, diastolic 90. Pulse rate is 84 bpm. Continue Metformin 500 mg BD after meals.","BP checkup: systolic 140, diastolic 90. Pulse Rate is 84 bpm. Continue Metformin 500 mg BD (Twice Daily) after meals.","BP checkup: systolic 140, diastolic 90. Pulse Rate is 84 bpm. Continue Metformin 500 mg BD (Twice Daily) after meals.",en-IN,0.95,approved,True,train
ElevenLabs_2026-09-02T11_28_48_Aisha - Sweet Expressive Girlfriend_pvc_sp100_s50_sb75_f2-5_16k_mono,E:\Diabetes\backend\datasets\processed_audio\ElevenLabs_2026-09-02T11_28_48_Aisha - Sweet Expressive Girlfriend_pvc_sp100_s50_sb75_f2-5_16k_mono.wav,330.5,16000,"डॉक्टर साहेब, मला खूप तहान लागते आणि लघवीला वारंवार जावे लागते. Random blood sugar RBS 240 mg/dl आले आहे.","डॉक्टर साहेब, मला खूप तहान लागते आणि लघवीला वारंवार जावे लागते. RBS RBS 240 mg/dl आले आहे.","डॉक्टर साहेब, मला खूप तहान लागते आणि लघवीला वारंवार जावे लागते. RBS RBS 240 mg/dl आले आहे.",mr-IN,0.95,approved,True,train
